release_file	original_archive_sha256	release_sha256	relationship	provenance_basis
code/P5_STAGE1A_BUILD_FULL_EVOLUTION_SCORE.py	eda010a245a74cca21deb2dfd885997e1c2036d782650f337f91dad7583a90e7	09a1f6cf0dc943813e070bb7c5cec111666fa610c847cafdb38c838e6f931a29	path-configured derivative	Author-owned project implementation; third-party libraries imported, not bundled
code/P5_STAGE1A_RUN_FULL_TMD_PROJECTION.py	5a08b69b930e0ca714022509f6c0431364f965c7387c0347a0775b65ae974eba	6a491a4486e237714227b3d1c9af056ac0d00ab9db0aac91fe02ef6882aa2eaa	path-configured derivative	Author-owned project implementation; third-party libraries imported, not bundled
code/P5_STAGE1B_FIRST_FROZEN_BRIDGE_REVEAL.py	0c997f83c99ca367d820da5eb11f2fe6b20c75923609f2d3b7f7265d16f0ca07	69efb5739a33a86202d87c978fcf7fa5f393eefc3b839beba7ce29444fabbc20	path-configured derivative	Author-owned project implementation; third-party libraries imported, not bundled
code/P5_V2_ATTRITION_AUDIT_v1.py	a5d706b8f37e2f4615df4c0eae1891cac902070047a1b3b1d5154ad5e459f39d	a5d706b8f37e2f4615df4c0eae1891cac902070047a1b3b1d5154ad5e459f39d	byte-identical	Author-owned project implementation; third-party libraries imported, not bundled
code/P5_V2_AUTHOR_REPRO_v1.py	7c2b2474d7329809777ffce6aa5df7ab5259e423797dc0777b5c369fbf3ad280	7c2b2474d7329809777ffce6aa5df7ab5259e423797dc0777b5c369fbf3ad280	byte-identical	Author-owned project implementation; third-party libraries imported, not bundled
code/P5_V2_BUILD_AND_REVEAL.py	2b0baf7bb00f45af3baecdd9b1790ba12867e78ff377d44ecd8902b0a6f660d5	afaae74692040107c2bfc4dc4c29486661993fb4d108e327590a4a2d385a0216	path-configured derivative	Author-owned project implementation; third-party libraries imported, not bundled
code/P5_V2_BUILD_OSTA_SPECIFICITY_v1.py	ba729639b556a546e13462482cef02db743edfa7931ccb1343b06d543099607c	9784b8584ee55f9d70aaf33d4ad950d53bd7c98d07cdf70804111835d93c4849	path-configured derivative	Author-owned project implementation; third-party libraries imported, not bundled
code/P5_V2_FULL_B_NORMALIZATION_v1.py	f4c3d3f086622492581688b4cfcf2433b2f08949bd03199b981d220b7c8c7f41	41c5c6b3f1c430cc2bbb4fff4206b1639e55bf135aab1cc8dc0eeda9cae41006	path-configured derivative	Author-owned project implementation; third-party libraries imported, not bundled
code/P5_V2_GENE_LEVEL_COMPANION_v1.py	7434d8fe1566584deabac1b2bb992a1387f717ea50bd3b29c756d688433ce716	d28a151756e5bad009263ae4026be7e78ea32e37cd0292587fc8069c5fffab98	path-configured derivative	Author-owned project implementation; third-party libraries imported, not bundled
code/P5_V2_IMPLEMENTATION_AUDIT_v1.py	2d5831e57fb5b01a52d15e86b6b511a343e50fe8b7ae5b02e6abd9e377b61694	d637935a35f1bf75a68230859add0bb1226ecc69f950afaa1aa188c1a0970b17	path-configured derivative	Author-owned project implementation; third-party libraries imported, not bundled
code/P5_V2_RUN_ALL_12_MPT_FULL.sh	42e6930bfde1e705a573e7ec40e4340b2fe3d07c41779f87455eb5aa99f89b5f	45934a1b084bb572b95dad3c28d72e68b2dc2a45e0a39d1d7e1fed6f7fb6a4f4	path-configured derivative	Author-owned project implementation; third-party libraries imported, not bundled
code/P5_V2_RUN_ALL_6_OSTA_FULL.sh	9b9ca3789931ff569b584ad57b66b92e1ed3336173e0d1e4f6010f1bf6786c93	32cb571cf985ce48e4ed7ae43deced6ff72b85204ac21450cb68a6790c0ee301	path-configured derivative	Author-owned project implementation; third-party libraries imported, not bundled
code/finalize_validation1_review.py	aa143599060234339dabd6cd05e74dc6deb786dd7603ad3f1d03f08a27ebf2cc	aa143599060234339dabd6cd05e74dc6deb786dd7603ad3f1d03f08a27ebf2cc	byte-identical	Author-owned project implementation; third-party libraries imported, not bundled
code/render_submission_assets.py	eb02f64cde259d6f8fb59d3a076f823f2455a5c2fd0cca5004cca03162da75e5	7f341a7d960d916b78dd00ced85a839709a6dadfcfe258eae55212e660716eda	path-configured documented historical derivative	Author-owned historical submission-rendering entry point; runtime paths configured and historical/non-authoritative presentation status documented. Scientific rendering logic otherwise retained.
code/verify_counting_fixture.py	7b85d45e09403c6eac423f61c5384e828b3092c7c14333a8e71f8cc8c8f4baec	7b85d45e09403c6eac423f61c5384e828b3092c7c14333a8e71f8cc8c8f4baec	byte-identical	Author-owned project implementation; third-party libraries imported, not bundled
results/ST1.tsv	3afdf8bad94125ee42815c914eeaca2393078db3f594b24420edd8a4f8bd63a2	1fb85a2d970ff7ac79a25dfa6f1c2b3a41682794bda306c71c330450f5fcbd96	metadata-aligned release derivative	Project-generated summary; temporal evidence-class/timing metadata aligned to frozen submission table and duplicated historical temporal presentation row removed. Numerical/statistical values of retained rows unchanged.
