distribution	internal_TMDs_per_gene	frequency	unit	denominator	fraction
all_prelocked_genes_prelocked_TMDs_per_gene	1	248	gene	1400	0.17714285714285713
all_prelocked_genes_prelocked_TMDs_per_gene	2	182	gene	1400	0.13
all_prelocked_genes_prelocked_TMDs_per_gene	3	171	gene	1400	0.12214285714285714
all_prelocked_genes_prelocked_TMDs_per_gene	4	326	gene	1400	0.23285714285714285
all_prelocked_genes_prelocked_TMDs_per_gene	5	186	gene	1400	0.13285714285714287
all_prelocked_genes_prelocked_TMDs_per_gene	6	118	gene	1400	0.08428571428571428
all_prelocked_genes_prelocked_TMDs_per_gene	7	58	gene	1400	0.041428571428571426
all_prelocked_genes_prelocked_TMDs_per_gene	8	51	gene	1400	0.03642857142857143
all_prelocked_genes_prelocked_TMDs_per_gene	9	27	gene	1400	0.019285714285714285
all_prelocked_genes_prelocked_TMDs_per_gene	10	15	gene	1400	0.010714285714285714
all_prelocked_genes_prelocked_TMDs_per_gene	11	1	gene	1400	0.0007142857142857143
all_prelocked_genes_prelocked_TMDs_per_gene	12	6	gene	1400	0.004285714285714286
all_prelocked_genes_prelocked_TMDs_per_gene	13	1	gene	1400	0.0007142857142857143
all_prelocked_genes_prelocked_TMDs_per_gene	14	2	gene	1400	0.0014285714285714286
all_prelocked_genes_prelocked_TMDs_per_gene	15	1	gene	1400	0.0007142857142857143
all_prelocked_genes_prelocked_TMDs_per_gene	16	2	gene	1400	0.0014285714285714286
all_prelocked_genes_prelocked_TMDs_per_gene	17	3	gene	1400	0.002142857142857143
all_prelocked_genes_prelocked_TMDs_per_gene	19	1	gene	1400	0.0007142857142857143
all_prelocked_genes_prelocked_TMDs_per_gene	23	1	gene	1400	0.0007142857142857143
contributing_genes_prelocked_TMDs_per_gene	1	163	gene	736	0.22146739130434784
contributing_genes_prelocked_TMDs_per_gene	2	106	gene	736	0.14402173913043478
contributing_genes_prelocked_TMDs_per_gene	3	95	gene	736	0.12907608695652173
contributing_genes_prelocked_TMDs_per_gene	4	119	gene	736	0.16168478260869565
contributing_genes_prelocked_TMDs_per_gene	5	92	gene	736	0.125
contributing_genes_prelocked_TMDs_per_gene	6	63	gene	736	0.08559782608695653
contributing_genes_prelocked_TMDs_per_gene	7	40	gene	736	0.05434782608695652
contributing_genes_prelocked_TMDs_per_gene	8	29	gene	736	0.03940217391304348
contributing_genes_prelocked_TMDs_per_gene	9	13	gene	736	0.017663043478260868
contributing_genes_prelocked_TMDs_per_gene	10	9	gene	736	0.012228260869565218
contributing_genes_prelocked_TMDs_per_gene	11	1	gene	736	0.001358695652173913
contributing_genes_prelocked_TMDs_per_gene	12	3	gene	736	0.004076086956521739
contributing_genes_prelocked_TMDs_per_gene	14	1	gene	736	0.001358695652173913
contributing_genes_prelocked_TMDs_per_gene	19	1	gene	736	0.001358695652173913
contributing_genes_prelocked_TMDs_per_gene	23	1	gene	736	0.001358695652173913
formal_valid_TMDs_per_contributing_gene	1	163	gene	736	0.22146739130434784
formal_valid_TMDs_per_contributing_gene	2	106	gene	736	0.14402173913043478
formal_valid_TMDs_per_contributing_gene	3	95	gene	736	0.12907608695652173
formal_valid_TMDs_per_contributing_gene	4	119	gene	736	0.16168478260869565
formal_valid_TMDs_per_contributing_gene	5	92	gene	736	0.125
formal_valid_TMDs_per_contributing_gene	6	63	gene	736	0.08559782608695653
formal_valid_TMDs_per_contributing_gene	7	40	gene	736	0.05434782608695652
formal_valid_TMDs_per_contributing_gene	8	29	gene	736	0.03940217391304348
formal_valid_TMDs_per_contributing_gene	9	13	gene	736	0.017663043478260868
formal_valid_TMDs_per_contributing_gene	10	9	gene	736	0.012228260869565218
formal_valid_TMDs_per_contributing_gene	11	1	gene	736	0.001358695652173913
formal_valid_TMDs_per_contributing_gene	12	3	gene	736	0.004076086956521739
formal_valid_TMDs_per_contributing_gene	14	1	gene	736	0.001358695652173913
formal_valid_TMDs_per_contributing_gene	19	1	gene	736	0.001358695652173913
formal_valid_TMDs_per_contributing_gene	23	1	gene	736	0.001358695652173913
formal_valid_TMD_weighted_gene_multiplicity	1	163	formal_valid_TMD	2796	0.058297567954220315
formal_valid_TMD_weighted_gene_multiplicity	2	212	formal_valid_TMD	2796	0.07582260371959942
formal_valid_TMD_weighted_gene_multiplicity	3	285	formal_valid_TMD	2796	0.10193133047210301
formal_valid_TMD_weighted_gene_multiplicity	4	476	formal_valid_TMD	2796	0.17024320457796852
formal_valid_TMD_weighted_gene_multiplicity	5	460	formal_valid_TMD	2796	0.16452074391988555
formal_valid_TMD_weighted_gene_multiplicity	6	378	formal_valid_TMD	2796	0.1351931330472103
formal_valid_TMD_weighted_gene_multiplicity	7	280	formal_valid_TMD	2796	0.10014306151645208
formal_valid_TMD_weighted_gene_multiplicity	8	232	formal_valid_TMD	2796	0.08297567954220315
formal_valid_TMD_weighted_gene_multiplicity	9	117	formal_valid_TMD	2796	0.04184549356223176
formal_valid_TMD_weighted_gene_multiplicity	10	90	formal_valid_TMD	2796	0.032188841201716736
formal_valid_TMD_weighted_gene_multiplicity	11	11	formal_valid_TMD	2796	0.003934191702432046
formal_valid_TMD_weighted_gene_multiplicity	12	36	formal_valid_TMD	2796	0.012875536480686695
formal_valid_TMD_weighted_gene_multiplicity	14	14	formal_valid_TMD	2796	0.005007153075822604
formal_valid_TMD_weighted_gene_multiplicity	19	19	formal_valid_TMD	2796	0.006795422031473534
formal_valid_TMD_weighted_gene_multiplicity	23	23	formal_valid_TMD	2796	0.008226037195994278
