kind	analysis	N	expected_constant_shift	max_nonconstant_residual	max_frozen_reconstruction_error	max_direct_codon_TMD_rounding_difference	max_codon_algebra_residual	clusters	beta_before	beta_after	beta_delta	beta_before_vs_archived_delta	se_before	se_after	se_delta	se_before_vs_archived_delta	p_before	p_after	p_delta	p_before_vs_archived_delta
profile	TMCO1_rep1	3363	0.5419949109017953	3.3306690738754696e-16	4.4408920985006262e-16	1.3679591024384763e-06	9.9920072216264089e-16													
profile	TMCO1_rep2	3317	0.58275321964349747	4.4408920985006262e-16	4.4408920985006262e-16	1.075313084797358e-06	8.8817841970012523e-16													
profile	CCDC47_rep1	3313	0.50900628422566496	3.3306690738754696e-16	4.4408920985006262e-16	1.2178380837113423e-06	7.7715611723760958e-16													
profile	CCDC47_rep2	3405	0.46616050421254768	3.8857805861880479e-16	4.4408920985006262e-16	1.2595101033241463e-06	8.3266726846886741e-16													
profile	Nicalin_rep1	3391	0.57929027797323474	2.2204460492503131e-16	4.4408920985006262e-16	1.2387437200445106e-06	6.6613381477509392e-16													
profile	Nicalin_rep2	3500	0.361216476703282	3.8857805861880479e-16	4.4408920985006262e-16	1.5205261245654356e-06	1.7208456881689926e-15													
profile	OST48_rep1	3119	0.90938683159141609	3.3306690738754696e-16	0	6.221751538415532e-07	1.4432899320127035e-15													
profile	OST48_rep2	3094	0.87377735095776354	2.2204460492503131e-16	0	8.1355073655586807e-07	1.1102230246251565e-15													
profile	RPN2_rep1	3117	0.61016779266625387	2.2204460492503131e-16	0	5.5966705758692115e-07	1.1102230246251565e-15													
combined	MPT	2796	0.50673694561000371	8.8817841970012523e-16																
combined	OST-A	2702	0.79777732507181121	4.4408920985006262e-16																
association	PRIMARY	2796						736	-0.021298724882397951	-0.021298724882398003	-5.2041704279304213e-17	-1.7347234759768071e-17	0.014480484557811665	0.014480484557811667	1.7347234759768071e-18	-1.0408340855860843e-17	0.14175771093656089	0.14175771093656001	-8.8817841970012523e-16	-6.9388939039072284e-16
association	ADJUSTED	2796						736	-0.031394558981559482	-0.031394558981559503	-2.0816681711721685e-17	3.677613769070831e-16	0.014391338808403212	0.014391338808403212	0	8.6736173798840355e-18	0.029463355682161414	0.029463355682161293	-1.214306433183765e-16	2.0747292772682613e-15
association	WITHIN_PROTEIN	2633						573	-0.019110323912306635	-0.019110323912306625	1.0408340855860843e-17	-1.0408340855860843e-17	0.01163023843238835	0.011630238432388348	-1.7347234759768071e-18	0	0.10089970340220969	0.10089970340220981	1.2490009027033011e-16	-1.5265566588595902e-16
association	MPT_SHARED	2575						683	-0.012003520082080207	-0.012003520082080265	-5.7245874707234634e-17	1.5612511283791264e-17	0.013737756656470087	0.013737756656470085	-1.7347234759768071e-18	6.9388939039072284e-18	0.38255581918616127	0.38255581918615889	-2.3869795029440866e-15	9.4368957093138306e-16
association	OSTA_SHARED	2575						683	-0.025961259763483648	-0.025961259763483752	-1.0408340855860843e-16	0	0.011262383066228149	0.011262383066228149	0	5.2041704279304213e-18	0.021458619205512692	0.021458619205512161	-5.3082538364890297e-16	8.3266726846886741e-17
association	MPT_MINUS_OSTA	2575						683	0.013957739681403422	0.013957739681403465	4.3368086899420177e-17	1.0408340855860843e-17	0.01798949025749037	0.01798949025749037	0	1.0408340855860843e-17	0.43808703868320203	0.43808703868320065	-1.3877787807814457e-15	-1.6653345369377348e-16
