table_group	evidence_class	timing	source_file	source_location	analysis	N	clusters	beta	se	ci_low	ci_high	p	interpretation_note	factor	holm_p	profile	spearman_rho	spearman_p	genes
MPT core	PRIMARY	Specified before MPT primary reveal	13_MPT_OUTCOME_REVEAL/P5_V2_REVEAL_CORE_RESULTS.tsv	data row 1	PRIMARY	2796	736	-0.021298724882397934	0.014480484557811675	-0.04972676576444783	0.007129315999651966	0.1417577109365616	TMD observations; gene-clustered inference; score standardized over 5538 bridge TMDs.						
MPT core	PRESPECIFIED_SECONDARY	Specified before MPT primary reveal	13_MPT_OUTCOME_REVEAL/P5_V2_REVEAL_CORE_RESULTS.tsv	data row 2	ADJUSTED	2796	736	-0.03139455898155985	0.014391338808403204	-0.05964758921403326	-0.0031415287490864433	0.02946335568215934	TMD observations; gene-clustered inference; score standardized over 5538 bridge TMDs.						
MPT core	PRESPECIFIED_SECONDARY	Specified before MPT primary reveal	13_MPT_OUTCOME_REVEAL/P5_V2_REVEAL_CORE_RESULTS.tsv	data row 3	WITHIN_PROTEIN	2633	573	-0.019110323912306625	0.01163023843238835	-0.04195350726594156	0.003732859441328309	0.10089970340220984	TMD observations; gene-clustered inference; score standardized over 5538 bridge TMDs.						
MPT factor	PRESPECIFIED_SECONDARY	Specified before MPT primary reveal	13_MPT_OUTCOME_REVEAL/P5_V2_REVEAL_FACTOR_RESULTS.tsv	data row 1		2796	736	-0.019673211861722963	0.01661698946292935	-0.052295632327197805	0.012949208603751875	0.23682685785282978	TMD observations; gene-clustered inference; score standardized over 5538 bridge TMDs.	TMCO1	0.47365371570565956				
MPT factor	PRESPECIFIED_SECONDARY	Specified before MPT primary reveal	13_MPT_OUTCOME_REVEAL/P5_V2_REVEAL_FACTOR_RESULTS.tsv	data row 2		2796	736	-0.02656698766993434	0.01639274855653806	-0.058749179106548366	0.005615203766679681	0.1055205857348867	TMD observations; gene-clustered inference; score standardized over 5538 bridge TMDs.	CCDC47	0.31656175720466007				
MPT factor	PRESPECIFIED_SECONDARY	Specified before MPT primary reveal	13_MPT_OUTCOME_REVEAL/P5_V2_REVEAL_FACTOR_RESULTS.tsv	data row 3		2796	736	-0.017655975115536366	0.015168691578515903	-0.0474351018153146	0.012123151584241872	0.2448119079398138	TMD observations; gene-clustered inference; score standardized over 5538 bridge TMDs.	Nicalin	0.47365371570565956				
MPT profile	SUPPORTING	Specified before MPT primary reveal	13_MPT_OUTCOME_REVEAL/P5_V2_REVEAL_REPLICATE_RESULTS.tsv	data row 1		2796	736	-0.010705850262602953	0.017429776776481803	-0.04492393217751567	0.023512231652309767	0.5392549970173622	TMD observations; gene-clustered inference; score standardized over 5538 bridge TMDs. Descriptive constituent profile; not an independent replication.			TMCO1_rep1			
MPT profile	SUPPORTING	Specified before MPT primary reveal	13_MPT_OUTCOME_REVEAL/P5_V2_REVEAL_REPLICATE_RESULTS.tsv	data row 2		2796	736	-0.0286405734608429	0.019112304730264148	-0.06616178886306101	0.008880641941375209	0.13442208087059018	TMD observations; gene-clustered inference; score standardized over 5538 bridge TMDs. Descriptive constituent profile; not an independent replication.			TMCO1_rep2			
MPT profile	SUPPORTING	Specified before MPT primary reveal	13_MPT_OUTCOME_REVEAL/P5_V2_REVEAL_REPLICATE_RESULTS.tsv	data row 3		2796	736	-0.03595596608206037	0.0197011603872057	-0.07463322102303344	0.0027212888589126863	0.0683964284473068	TMD observations; gene-clustered inference; score standardized over 5538 bridge TMDs. Descriptive constituent profile; not an independent replication.			CCDC47_rep1			
MPT profile	SUPPORTING	Specified before MPT primary reveal	13_MPT_OUTCOME_REVEAL/P5_V2_REVEAL_REPLICATE_RESULTS.tsv	data row 4		2796	736	-0.017178009257808487	0.01743067837427831	-0.051397861186626204	0.017041842671009225	0.32470069521309397	TMD observations; gene-clustered inference; score standardized over 5538 bridge TMDs. Descriptive constituent profile; not an independent replication.			CCDC47_rep2			
MPT profile	SUPPORTING	Specified before MPT primary reveal	13_MPT_OUTCOME_REVEAL/P5_V2_REVEAL_REPLICATE_RESULTS.tsv	data row 5		2796	736	-0.026873165479570353	0.018293071302130707	-0.06278606444086138	0.009039733481720665	0.14225110444335276	TMD observations; gene-clustered inference; score standardized over 5538 bridge TMDs. Descriptive constituent profile; not an independent replication.			Nicalin_rep1			
MPT profile	SUPPORTING	Specified before MPT primary reveal	13_MPT_OUTCOME_REVEAL/P5_V2_REVEAL_REPLICATE_RESULTS.tsv	data row 6		2796	736	-0.0084387847515024	0.015539962335506108	-0.038946789011688895	0.022069219508684092	0.5872685109054914	TMD observations; gene-clustered inference; score standardized over 5538 bridge TMDs. Descriptive constituent profile; not an independent replication.			Nicalin_rep2			
Gene companion	SUPPORTING	Broad role pre-reveal; detailed implementation post-primary reveal	13_MPT_OUTCOME_REVEAL/P5_V2_GENE_LEVEL_COMPANION_RESULTS.tsv	data row 1	MPT_average	652		-0.03828622598698866	0.03831883270861296	-0.11338975802548545	0.036817306051508146	0.3177224843439106	Gene observations; HC3 inference; gene means standardized over 1400 bridge genes. Blank Holm P for aggregate is not zero.				-0.03618173287458345	0.3563178188741448	
Gene companion	SUPPORTING	Broad role pre-reveal; detailed implementation post-primary reveal	13_MPT_OUTCOME_REVEAL/P5_V2_GENE_LEVEL_COMPANION_RESULTS.tsv	data row 2	TMCO1_average	652		-0.037977036104986636	0.03775994402487032	-0.11198516645198087	0.036031094242007594	0.31453619631396945	Gene observations; HC3 inference; gene means standardized over 1400 bridge genes. Blank Holm P for aggregate is not zero.		0.6290723926279389		-0.03473762237543036	0.3758515535599424	
Gene companion	SUPPORTING	Broad role pre-reveal; detailed implementation post-primary reveal	13_MPT_OUTCOME_REVEAL/P5_V2_GENE_LEVEL_COMPANION_RESULTS.tsv	data row 3	CCDC47_average	652		-0.029960068092835603	0.04131446550878901	-0.11093493253058435	0.05101479634491314	0.46834689649066263	Gene observations; HC3 inference; gene means standardized over 1400 bridge genes. Blank Holm P for aggregate is not zero.		0.6290723926279389		-0.02789261221123905	0.4770905880807492	
Gene companion	SUPPORTING	Broad role pre-reveal; detailed implementation post-primary reveal	13_MPT_OUTCOME_REVEAL/P5_V2_GENE_LEVEL_COMPANION_RESULTS.tsv	data row 4	Nicalin_average	652		-0.04692157376314395	0.03732069362597905	-0.12006878914811644	0.026225641621828548	0.20866184564206258	Gene observations; HC3 inference; gene means standardized over 1400 bridge genes. Blank Holm P for aggregate is not zero.		0.6259855369261877		-0.046612665751781926	0.23460356929330708	
Machinery comparison	POST_REVEAL_SECONDARY	Broad OST-A role pre-MPT reveal; detailed shared-population contrast specified after MPT adjudication	14_OSTA_SPECIFICITY/P5_V2_OSTA_SPECIFICITY_CORE_RESULTS.tsv	data row 1	MPT_SHARED	2575		-0.012003520082080223	0.01373775665647008	-0.03897689729406777	0.014969857129907319	0.38255581918616033	TMD observations; gene-clustered inference; score standardized over 5538 bridge TMDs. Individual P values are not a machinery-difference test.						683
Machinery comparison	POST_REVEAL_SECONDARY	Broad OST-A role pre-MPT reveal; detailed shared-population contrast specified after MPT adjudication	14_OSTA_SPECIFICITY/P5_V2_OSTA_SPECIFICITY_CORE_RESULTS.tsv	data row 2	OSTA_SHARED	2575		-0.025961259763483648	0.011262383066228144	-0.04807436850079695	-0.0038481510261703412	0.02145861920551261	TMD observations; gene-clustered inference; score standardized over 5538 bridge TMDs. Individual P values are not a machinery-difference test.						683
Machinery comparison	POST_REVEAL_SECONDARY	Broad OST-A role pre-MPT reveal; detailed shared-population contrast specified after MPT adjudication	14_OSTA_SPECIFICITY/P5_V2_OSTA_SPECIFICITY_CORE_RESULTS.tsv	data row 3	MPT_MINUS_OSTA	2575		0.013957739681403411	0.01798949025749036	-0.021363697340712556	0.049279176703519376	0.4380870386832022	TMD observations; gene-clustered inference; score standardized over 5538 bridge TMDs. Individual P values are not a machinery-difference test.						683
Shared temporal comparison	SUPPORTING	Shared-primary estimate; post-reveal descriptive comparison	13_MPT_OUTCOME_REVEAL/P5_V2_IMPLEMENTATION_AUDIT_v1.log	section 7	Downstream +30..+90	2455		-0.02171139		-0.05212457	0.00870179	0.1614507	TMD observations; gene-clustered inference; score standardized over 5538 bridge TMDs. Shared-population comparison; no between-window test. SE absent from the archived shared comparison is left blank; printed precision preserved.						642
Shared temporal comparison	Prespecified secondary	Before MPT reveal	13_MPT_OUTCOME_REVEAL/P5_V2_IMPLEMENTATION_AUDIT_v1.log	section 7	Earlier -90..-30	2455		-0.02761330		-0.06761918	0.01239257	0.1757715	TMD observations; gene-clustered inference; score standardized over 5538 bridge TMDs. Shared-population comparison; no between-window test. SE absent from the archived shared comparison is left blank; printed precision preserved.						642
